name,price,pic
realme 真我X 4800万双摄 升降摄像头 高通骁龙710 屏下指纹 全网通6GB+64GB 朋克蓝 游戏智能,1199.00,//img10.360buyimg.com/n7/jfs/t1/105402/12/12086/196068/5e4539a8E78c4986e/9730f74706948da6.jpg
华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB亮黑色全网通双4G,2369.00,//img14.360buyimg.com/n7/jfs/t1/94360/36/12197/120117/5e49394aE82f1fcc3/62e469682fa3350d.jpg
荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通6GB+64GB 极光蓝,999.00,//img11.360buyimg.com/n7/jfs/t1/103712/8/12627/120136/5e4a9c4cEd575a430/c16767f6cfb1902a.jpg
Redmi K30 5G双模 120Hz流速屏 骁龙765G 30W快充 6GB+128GB 深海微光 游戏智能,2299.00,//img12.360buyimg.com/n7/jfs/t1/89638/2/6927/148626/5df7524dEf4790181/71fe33686e6f885b.jpg
华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB亮黑色全网通双4G,2369.00,//img14.360buyimg.com/n7/jfs/t1/94360/36/12197/120117/5e49394aE82f1fcc3/62e469682fa3350d.jpg
荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通6GB+64GB 极光蓝,999.00,//img11.360buyimg.com/n7/jfs/t1/103712/8/12627/120136/5e4a9c4cEd575a430/c16767f6cfb1902a.jpg
Redmi K30 5G双模 120Hz流速屏 骁龙765G 30W快充 6GB+128GB 深海微光 游戏智能,2299.00,//img12.360buyimg.com/n7/jfs/t1/89638/2/6927/148626/5df7524dEf4790181/71fe33686e6f885b.jpg
华为 HUAWEI nova 6 SE 麒麟810芯片4800万AI四摄40W超级快充8GB+128GB 樱雪晴空 全网通双卡双待,2199.00,//img12.360buyimg.com/n7/jfs/t1/96484/3/12554/109598/5e493900E138370f1/a1647da1c3981949.jpg
荣耀V30 李现同款 5G 双模 麒麟990 突破性相机矩阵 游戏,2999.00,//img10.360buyimg.com/n7/jfs/t1/84695/16/12571/116184/5e4a8c83E80640a7d/51fa8ed8ef4b144a.jpg
华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G,499.00,//img12.360buyimg.com/n7/jfs/t21043/186/220467895/46630/3417464c/5b0517ccN295c6fdb.jpg
Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G,9999.00,//img12.360buyimg.com/n7/jfs/t1/101408/15/12700/273395/5e4a6ca6E48cadc55/0fafc2e9dbc9fd87.jpg
华为 HUAWEI 畅享MAX 6GB+128GB 幻夜黑 全网通 珍珠屏杜比全景声大电池 移动联通电信4G,1249.00,//img11.360buyimg.com/n7/jfs/t1/56335/9/14528/130853/5db6dae8E61379dd1/e87371a56c251973.jpg
